Date, Close/Last, Volume, Open, High, Low
08/21/2020, $69.55, 3435685, $66.95, $69.95, $66.55
08/20/2020, $66.26, 1669909, $64.92, $66.28, $64.92
08/19/2020, $64.9, 2362715, $65.68, $65.68, $64.75
08/18/2020, $66.07, 1630851, $66.1, $66.25, $65.61
08/17/2020, $66.09, 2043756, $65.55, $66.155, $65.25
08/14/2020, $64.87, 3080106, $65.45, $65.45, $64.74
08/13/2020, $65.32, 4239351, $66.13, $66.14, $65.02
08/12/2020, $68, 3888668, $68, $68.08, $67.53
08/11/2020, $65.95, 2973296, $66.625, $66.7, $65.75
08/10/2020, $64.89, 9031013, $64.73, $64.95, $64.11
08/07/2020, $67.22, 9096526, $67.93, $68.45, $66.85
08/06/2020, $72.57, 1855966, $71.64, $72.95, $71.47
08/05/2020, $72.45, 2474002, $72.41, $72.64, $72.19
08/04/2020, $71.19, 2025362, $70.36, $71.25, $70.35
08/03/2020, $69.6, 3002188, $69.51, $70, $69.32
07/31/2020, $68.49, 2433294, $69.12, $69.24, $67.72
07/30/2020, $69.06, 2107293, $68.784, $69.23, $68.6
07/29/2020, $70.42, 2203150, $69.95, $70.5, $69.78
07/28/2020, $69.12, 3521563, $69.75, $70.14, $68.93
07/27/2020, $68.33, 3742593, $67.73, $68.48, $67.57
07/24/2020, $68.82, 3280221, $67.875, $68.88, $67.28
07/23/2020, $70.44, 4844489, $71.215, $71.71, $69.84
07/22/2020, $69.84, 3103790, $70.25, $70.25, $69.32
07/21/2020, $71.49, 3606161, $72.715, $72.73, $69.98
07/20/2020, $69, 2399788, $67.5, $69.12, $67.5
07/17/2020, $67.56, 1377593, $67.53, $67.77, $67.31
07/16/2020, $67.08, 3036367, $66.61, $67.26, $66.6
07/15/2020, $69.81, 2901630, $70.085, $70.58, $69.415
07/14/2020, $67.54, 2870806, $67.6, $67.77, $66.53
07/13/2020, $68.14, 4878095, $70.31, $70.37, $68
07/10/2020, $70.4, 3181861, $70.96, $71.17, $69.97
07/09/2020, $71.28, 5876274, $72.884, $72.9, $70.51
07/08/2020, $70.89, 4969713, $69.87, $70.92, $69.59
07/07/2020, $66.5, 2524765, $66.645, $67.12, $66.13
07/06/2020, $67.99, 3609850, $67.19, $68, $67.01
07/02/2020, $66.69, 3891159, $67.11, $67.14, $66.075
07/01/2020, $65.02, 2695752, $64.15, $65.06, $64.15
06/30/2020, $64, 4062752, $64.075, $64.44, $63.81
06/29/2020, $62.87, 2530980, $62.56, $63.07, $62.44
06/26/2020, $62.2, 2026111, $62.51, $62.55, $61.92
06/25/2020, $62.72, 3143227, $62.45, $62.9, $62.19
06/24/2020, $62.97, 2786735, $63, $63.43, $62.34
06/23/2020, $64, 4458900, $64.32, $64.5, $63.5812
06/22/2020, $62.15, 7276973, $61.46, $62.4, $61.08
06/19/2020, $58.95, 2540625, $59.53, $59.617, $58.6
06/18/2020, $59.21, 2364330, $59.09, $59.4, $58.96
06/17/2020, $58.41, 2587578, $58.1, $58.6, $58
06/16/2020, $58.08, 3410417, $58.638, $58.79, $57.9
06/15/2020, $56.83, 2104299, $55.8, $56.98, $55.8
06/12/2020, $56.75, 1975093, $57.48, $57.49, $56
06/11/2020, $55.88, 2407517, $56.63, $56.85, $55.75
06/10/2020, $57.99, 3594590, $57.395, $58.22, $57.06
06/09/2020, $55.98, 2140698, $55.665, $56.11, $55.45
06/08/2020, $55.784, 4141243, $55.69, $55.92, $55.15
06/05/2020, $56, 4014806, $56.09, $56.54, $56
06/04/2020, $55.52, 2938904, $55.815, $56.15, $55.15
06/03/2020, $56.29, 3266908, $56.18, $56.5, $56.04
06/02/2020, $56.36, 4668204, $55.975, $56.46, $55.62
06/01/2020, $55.18, 2425129, $54.82, $55.38, $54.68
05/29/2020, $54.32, 6098239, $52.64, $54.43, $52.5
05/28/2020, $52.25, 4071321, $52.94, $53.14, $52.25
05/27/2020, $53.58, 4603943, $53.92, $54, $53
